naslov,opis,type,stevilo_epizod,ocena,start_date,end_date,stevilo_glasov,rating
009 Re:Cyborg,"Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fig...<a href=""https://myanimelist.net/anime/11755/009_Re_Cyborg"">read more.</a>",Movie,1,6.62,10-27-12,10-27-12,"12,087",PG-13
009 Re:Cyborg x Zip,A series of animated shorts done in collaboration with Zip.,ONA,10,5.25,10-15-12,10-26-12,828,G
009-1,"Mylene Hoffman, a beautiful cyborg spy with the codename &quot;009-1&quot; lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions...<a href=""https://myanimelist.net/anime/1583/009-1"">read more.</a>",TV,12,6.32,10-06-06,12-22-06,"15,001",R
009-1: R&amp;B,"Mylene Hoffman, also known by the code name &quot;009-1&quot; is a beautiful cyborg spy. Instructed by her superior &quot;Number Zero,&quot; she is assigned to eliminate a Jazz musician who is suspected to be a double ag...<a href=""https://myanimelist.net/anime/3234/009-1__R_B"">read more.</a>",Special,1,6.35,04-25-07,04-25-07,"3,940",R
00:08,"A man enjoys a drink over and over and over again, for eight seconds each time. It&#039;s the same every time... or at least that&#039;s what it seems like at first. With every sip, something changes, making th...<a href=""https://myanimelist.net/anime/28761/00_08"">read more.</a>",Movie,1,4.98,06-08-14,06-08-14,"5,477",G
07-Ghost,"Barsburg Empire&#039;s Military Academy is known for training elites who bring victory to the empire. Students of the academy freely utilize an ability called &quot;Zaiphon&quot; to fight, while the types of Zaiphon...<a href=""https://myanimelist.net/anime/5525/07-Ghost"">read more.</a>",TV,25,7.33,04-07-09,09-22-09,"163,324",PG-13
1+2=Paradise,"When Yuusuke awakens from a nightmare in which a demon warns him that women will be his downfall, he discovers that real life isn’t any better! Having a gynaecologist as a father, the poor boy is unde...<a href=""https://myanimelist.net/anime/2730/1_2_Paradise"">read more.</a>",OVA,2,5.05,02-23-90,04-27-90,"6,083",R+
1-gatsu ni wa Christmas,"Nobumasa is a boy who works part-time in a shoe store, where he meets Mizuki, a girl whose abusive family life has left her unable to trust other people. Meanwhile, Nobumasa is unaware that another gi...<a href=""https://myanimelist.net/anime/6060/1-gatsu_ni_wa_Christmas"">read more.</a>",OVA,1,5.94,11-21-91,11-21-91,590,G
1-ri Botchi no Ookami to 7-hiki no Ko Yagi,An adaptation of the The Wolf and The Seven Little Goats story.,OVA,1,0.00,01-15-94,01-15-94,135,G
1/100 Rice Planting,A 1/100 scale of rice planting in a field done with paper stop-motion.,ONA,1,4.91,06-26-16,06-26-16,399,G
1/100 Shibuya Crossing,A 1/100 scale of the famous Shibuya scramble crossing done with paper stop-motion.,ONA,1,5.25,06-28-15,06-28-15,386,G
1/100 Train Station,A 1/100 scale of a train station done with paper stop-motion.,ONA,1,5.22,07-24-17,07-24-17,412,G
100%,"A pretty 22-year-old girl leaves university and gets her dream job as a TV newscaster, only to discover that life is tough at the top. Adaptation of the &quot;Young Action&quot; manga by Michio Yanagisawa. (Sou...<a href=""https://myanimelist.net/anime/7374/100"">read more.</a>",OVA,1,5.59,09-07-90,09-07-90,609,R+
100% Pascal-sensei,,ONA,6,5.72,10-15-16,03-15-17,377,G
100% Pascal-sensei (TV),"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human. (S...<a href=""https://myanimelist.net/anime/34052/100_Pascal-sensei_TV"">read more.</a>",TV,36,5.68,04-15-17,12-16-17,"1,845",PG
100% Renewable Energy,Short film directed by Amika Kubo and sponsored by WWF Japan as part of their campaign to move Japan away from nuclear energy and towards the use of renewable energy.,Special,1,5.98,03-??-12,03-??-12,150,G
1000-nen Joou: Queen Millennia,"AD 1999, the Earth was in a critical situation; a planet Lar Metal was approaching to the Earth. Meanwhile, Yukino Yayoi was heard about Lar Metal from Dr. Amamori of Tokyo Observatory. She was a juni...<a href=""https://myanimelist.net/anime/1549/1000-nen_Joou__Queen_Millennia"">read more.</a>",Movie,1,6.92,03-13-82,03-13-82,"3,162",PG-13
1001 Nights,"Presented in the form of a feverish love dream, 1001 Nights (based on Amano`s book of artwork) is the first performance of the groundbreaking &quot;Filmharmonic&quot; series, which presents new orchestral works...<a href=""https://myanimelist.net/anime/3914/1001_Nights"">read more.</a>",Movie,1,6.34,04-24-99,04-24-99,"8,044",R+
11-nin Iru!,"The elite Cosmo Academy attracts applicants from every stellar nation in the galaxy. One young hopeful is Tadatos Lane, an orphan esper from Terra. The final stage of the academy&#039;s entrance exam is a...<a href=""https://myanimelist.net/anime/1901/11-nin_Iru"">read more.</a>",Movie,1,7.14,11-01-86,11-01-86,"7,024",PG-13
112 Sabsections of Skyline,"Short film by Takashi Ohashi, depicting birds resting on electrical wires to play out a musical score.",ONA,1,5.40,10-20-07,10-20-07,154,G
11eyes,"When the Sky turns Red, the Moon turns Black, and monsters begin roaming the streets, Satsuki Kakeru is at a loss for what to do. Along with his best friend Yuka, they try to decipher why they have be...<a href=""https://myanimelist.net/anime/6682/11eyes"">read more.</a>",TV,12,6.30,10-07-09,12-23-09,"184,797",R
11eyes Picture Drama,Picture drama specials included on the seventh BD volume of the 11eyes series. The stories focused on the Black Knights with jokes.,Special,13,5.67,06-25-10,06-25-10,"3,940",PG-13
11eyes: Momoiro Genmutan,"Extra Blu-ray/DVD Episode 13 included on vol. 7. In this special episode, Kakeru and the team enter a &quot;Pink Night&quot; instead of red. The &quot;Black Knights&quot; are now &quot;Pink Ero-Rangers&quot; and Lisolette is a bon...<a href=""https://myanimelist.net/anime/7739/11eyes__Momoiro_Genmutan"">read more.</a>",Special,1,6.15,06-25-10,06-25-10,"34,709",R+
12-gatsu no Uta,"Short film by Tadanari Okamoto originally projected on three screens, and re-edited for domestic release many years later, set to a poem by Noriko Ibaraki of the same name.",Movie,1,4.70,??-??-71,??-??-71,543,G
12-sai.,"The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencin...<a href=""https://myanimelist.net/anime/23579/12-sai"">read more.</a>",OVA,8,6.39,04-03-14,01-03-15,"9,457",PG
12-sai. 2nd Season,Second season of 12-sai.,OVA,4,6.33,07-03-15,12-01-15,"3,150",PG
12-sai.: Chicchana Mune no Tokimeki,"Reaching a period of life where they are neither a child nor an adult, 12-year-old Hanabi Ayase and Aoi Yui meet with life-changing events. Due to the mischievous demeanor of her male classmates, Ayas...<a href=""https://myanimelist.net/anime/32601/12-sai__Chicchana_Mune_no_Tokimeki"">read more.</a>",TV,12,6.52,04-04-16,06-20-16,"21,955",PG
12-sai.: Chicchana Mune no Tokimeki 2nd Season,"The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencin...<a href=""https://myanimelist.net/anime/33419/12-sai__Chicchana_Mune_no_Tokimeki_2nd_Season"">read more.</a>",TV,12,6.74,10-03-16,12-19-16,"10,359",PG
